 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
042,-.1642459,-.4759820,.2088546,.0939345,-.3296846,-.0401405,.2613240,2.1842728,.8762103,.1619109,2.8000000
043,-.1655186,-.4583116,.4657649,.1123434,-.4646969,-.0423752,.2613240,2.1842726,.8762104,.3633350,2.8000000
044,-.1028428,-.2665170,.4051859,.1250934,-.3903507,-.0401164,.2613240,2.1842725,.8762104,.3246528,2.8000000
045,-.1867697,-.5294921,.1161928,.0702025,-.2975409,-.0401134,.2613240,2.1842725,.8762104,.1125207,2.8000000
046,-.1146638,-.3250718,.0952891,.0912760,-.2391089,-.0401180,.2613240,2.1842724,.8762105,.0652182,2.8000000
047,-.0047345,-.0134222,.1358173,.1255362,-.1781780,-.0401110,.2613240,2.1842722,.8762105,.1163551,2.8000000
048,-.0607617,-.1722595,.0210811,.0493238,-.1175215,-.0400999,.2613240,2.1842721,.8762106,.0149990,2.8000000
049,.0358538,.1016456,.0604639,.0869967,-.0724705,-.0401021,.2613240,2.1842720,.8762106,.0398466,2.8000000
050,.1014475,.2876036,.1710593,.1628188,-.1180806,-.0400972,.2613240,2.1842720,.8762106,.1278108,2.8000000
051,.1796675,.4604910,.3797849,.1925327,-.1541319,-.0400965,.2613240,2.1842720,.8762106,.3141211,2.8000000
052,-.1375279,-.4340418,.2788889,.0911198,-.3381535,-.0400962,.2613240,2.1842720,.8762106,.2257030,2.8000000
053,-.1153858,-.3234138,.2983983,.0990764,-.3315700,-.0400955,.2613240,2.1842719,.8762106,.2387451,2.8000000
054,-.1378758,-.3458228,.3720222,.1065053,-.3939938,-.0400949,.2613240,2.1842720,.8762106,.2961354,2.8000000
055,-.1367907,-.4218686,.2376131,.1077379,-.3339656,-.0400944,.2613240,2.1842719,.8762106,.1887527,2.8000000
056,-.0790698,-.2530104,.3301931,.1324730,-.3380912,-.0400936,.2613240,2.1842719,.8762106,.2608496,2.8000000
057,-.0741695,-.2077187,.4905341,.1822533,-.4557229,-.0414694,.2613240,2.1842719,.8762106,.3952602,2.8000000
058,-.1657152,-.4132452,.0940355,-.0071126,-.1963629,-.0415472,.2613240,2.1842719,.8762106,.0891451,2.8000000
059,-.3294356,-.8425825,.1022663,.0385339,-.4061573,-.0400968,.2613240,2.1842720,.8762106,.0697110,2.8000000
060,.1229785,.2859759,.4892546,.1799508,-.2523798,-.0416324,.2613240,2.1842720,.8762106,.3736694,2.8000000
061,.1426095,.3363606,.4551087,.1787467,-.2152474,-.0400958,.2608582,2.1842720,.8748153,.3743744,2.8050001
062,-.0858447,-.2865834,.2884960,.1380822,-.3343223,-.0400950,.2603941,2.1842718,.8734246,.2459669,2.8100001
063,.2299422,.5473905,.4334009,.2772544,-.2194465,-.0400723,.2599315,2.1842716,.8720383,.3297791,2.8150001
064,.4149209,1.0344558,.4651219,.4107567,-.1873069,-.0410043,.2594707,2.1842713,.8706564,.3747784,2.8200001
065,-.0534086,-.1799396,.3216371,.2274247,-.4097430,-.0400496,.2590114,2.1842713,.8692788,.2706724,2.8250001
066,-.0602781,-.2332193,.2645948,.1717229,-.3349594,-.0400507,.2585538,2.1842713,.8679055,.2142353,2.8300001
067,-.3210107,-.9112595,.1034485,.0734280,-.4337033,-.0400536,.2580978,2.1842714,.8665365,.0885564,2.8350001
068,-.2156008,-.6112284,.0678282,.0639316,-.3034577,-.0400565,.2576434,2.1842714,.8651718,.0512310,2.8400001
069,-.0543551,-.1540966,.1466975,.1441427,-.2430473,-.0400587,.2571906,2.1842715,.8638115,.1198816,2.8450001
070,-.1920603,-.5444910,.0499402,.0871994,-.2928867,-.0400619,.2567394,2.1842716,.8624554,.0432222,2.8500001
071,-.1144875,-.3245720,.1574784,.1188516,-.2822014,-.0400649,.2562898,2.1842716,.8611036,.1196844,2.8550001
072,-.0367401,-.1393983,.3022282,.1407244,-.2865653,-.0400685,.2558417,2.1842717,.8597560,.2387104,2.8600001
073,-.0928719,-.2861947,.2775802,.1172678,-.3087525,-.0400719,.2553952,2.1842717,.8584126,.2266313,2.8650001
074,-.0834505,-.2609437,.3337828,.1209179,-.3365033,-.0400753,.2549503,2.1842718,.8570734,.2621041,2.8700001
075,.0422159,.0611710,.2694324,.0921765,-.1588210,-.0400795,.2545069,2.1842719,.8557383,.2085948,2.8750001
076,.2632885,.6379837,.2803420,.0963592,.0567873,-.0400841,.2540650,2.1842720,.8544074,.2428945,2.8800001
077,.0260316,.0223734,.3318609,.1237596,-.2213539,-.0400881,.2536247,2.1842720,.8530807,.2545122,2.8850001
078,-.0757926,-.2148720,.2569855,.1240993,-.2824336,-.0400930,.2531859,2.1842721,.8517581,.2131809,2.8900001
079,-.0284350,-.1270005,.4427208,.1464087,-.3477358,-.0400936,.2527486,2.1842721,.8504395,.3604131,2.8950001
080,-.0899327,-.2924979,.2796371,.0714781,-.2714125,-.0415249,.2523129,2.1842722,.8491251,.2047695,2.9000001
081,.3968070,.9862264,.7473603,.1843906,-.0885638,-.0416059,.2518786,2.1842722,.8478147,.5841176,2.9050001
082,.8637640,2.1462004,.9023612,.2742245,.2257225,-.0429164,.2514458,2.1842723,.8465083,.7044735,2.9100001
083,-.0022860,-.0191232,.6552845,.1438045,-.4093455,-.0417205,.2510145,2.1842724,.8452059,.5755918,2.9150001
084,-.3826881,-1.0849209,.0125136,.0418347,-.4255965,-.0400976,.2505847,2.1842723,.8439076,.0097519,2.9200001
085,-.0410562,-.1459040,.3744996,.1221406,-.3094701,-.0401029,.2501563,2.1842723,.8426133,.2865033,2.9250001
086,-.0191489,-.0931761,.5462043,.1484501,-.3833486,-.0424662,.2497295,2.1842724,.8413229,.4395704,2.9300001
087,-.2031401,-.5085195,.4738945,.1001072,-.4933913,-.0425259,.2493040,2.1842724,.8400365,.3968820,2.9350001
088,.3308703,.8500165,.3614485,.0779197,.1106120,-.0426632,.2488800,2.1842725,.8387540,.2827643,2.9400001
089,.3711139,.9225335,.6176194,.1537379,-.0307312,-.0428800,.2484575,2.1842726,.8374753,.4897956,2.9450001
090,.4164643,1.0305767,.6986506,.1538270,-.0176838,-.0428839,.2480364,2.1842727,.8362006,.5715926,2.9500001
091,.0663592,.1272412,.2986753,.0802182,-.1281174,-.0420216,.2476167,2.1842727,.8349297,.2382639,2.9550001
092,-.1070733,-.3354210,.3543057,.0872565,-.3361618,-.0430399,.2471984,2.1842727,.8336628,.2829060,2.9600001
093,.0052414,.0108590,.5395575,.1103391,-.3219261,-.0430440,.2467815,2.1842728,.8323996,.4331885,2.9650001
094,-.1022531,-.2894376,.3891792,.0998130,-.3572618,-.0430573,.2463661,2.1842728,.8311403,.3282036,2.9700001
095,.1810281,.4502116,.1709628,.0403108,.0721945,-.0432128,.2459520,2.1842729,.8298848,.1269086,2.9750001
096,.2676291,.6417126,.5905048,.1268489,-.0952916,-.0434774,.2455394,2.1842731,.8286330,.4653854,2.9800001
097,.5278836,1.3127652,.5848884,.1123953,.1803886,-.0428681,.2451281,2.1842729,.8273851,.4908266,2.9850001
098,-.0360111,-.0909711,.3913055,.0680656,-.2609449,-.0433105,.2447182,2.1842730,.8261409,.3074876,2.9900001
099,-.1380350,-.3555443,.2926248,.0693213,-.3239581,-.0429604,.2443096,2.1842729,.8249004,.2457695,2.9950001
100,.1253603,.3136342,.5594673,.1180162,-.2165084,-.0429966,.2439024,2.1842729,.8236637,.4410129,3.0000001
101,.0036630,.0063202,.6087845,.1079990,-.3489610,-.0431587,.2434966,2.1842730,.8224307,.4878313,3.0050001
102,.6627194,1.6431669,.9844038,.1797970,.0863236,-.0432326,.2430921,2.1842730,.8212013,.7949999,3.0100001
103,-.0579333,-.1464707,.7072405,.1118242,-.4544733,-.0434104,.2426890,2.1842731,.8199756,.5682423,3.0150001
104,.2095646,.4722861,.5227299,.0976917,-.0979832,-.0423838,.2422872,2.1842732,.8187535,.4346634,3.0200001
105,-.2180096,-.6344322,.0984049,.0392331,-.2944004,-.0401525,.2418867,2.1842734,.8175351,.0763249,3.0250001
106,.2678981,.6422494,.3825539,.1197129,.0053547,-.0426494,.2414876,2.1842734,.8163203,.3114213,3.0300001
107,.2688151,.6897074,.3451285,.0753976,.0609406,-.0426497,.2410897,2.1842735,.8151091,.2768065,3.0350001
108,.4035003,.9619754,1.0724595,.2288968,-.2541426,-.0440899,.2406932,2.1842736,.8139015,.8345451,3.0400001
109,.9319767,2.3039422,1.7251385,.2904428,-.0555761,-.0442028,.2402980,2.1842736,.8126975,1.3936721,3.0450001
110,1.0395097,2.5668200,1.8455149,.2839126,.0090305,-.0439854,.2399040,2.1842735,.8114971,1.5303588,3.0500001
111,-.0398096,-.1191152,.5551752,.1181478,-.3789014,-.0432762,.2395114,2.1842734,.8103002,.4390894,3.0550001
112,.3138817,.7591779,.7207474,.1892837,-.1599377,-.0435950,.2391200,2.1842735,.8091068,.5509308,3.0600001
113,.5355721,1.3302306,1.0814753,.2346287,-.1341254,-.0439876,.2387299,2.1842736,.8079169,.8607315,3.0650001
114,.4945571,1.2294355,1.1232997,.2605265,-.2171621,-.0445535,.2383411,2.1842739,.8067304,.9060119,3.0700001
115,.6675348,1.6516422,1.6783536,.3051708,-.3144501,-.0449327,.2379536,2.1842741,.8055475,1.3807650,3.0750001
116,.7449454,1.8407584,1.8431733,.2556833,-.2553576,-.0453525,.2375673,2.1842743,.8043680,1.4855769,3.0800001
117,.6462281,1.5910197,1.9390503,.2801408,-.4189224,-.0459523,.2371823,2.1842747,.8031919,1.5444268,3.0850001
118,.7904913,1.9384435,2.5678763,.3393655,-.5920797,-.0471721,.2367985,2.1842751,.8020192,2.1036836,3.0900001
119,.4298120,1.0570652,1.7010119,.1774996,-.4366364,-.0477919,.2364159,2.1842755,.8008499,1.4227791,3.0950001
120,.5719724,1.3964341,1.4926128,.2407864,-.2682224,-.0489226,.2360346,2.1842761,.7996840,1.2019647,3.1000001
121,.5455245,1.3518049,1.2830121,.3396981,-.3097309,-.0424616,.2352756,2.1842723,.7973639,1.0305609,3.1100002
122,.6480276,1.5880356,1.1303481,.3447391,-.1443698,-.0425982,.2345216,2.1842724,.7950561,.8909191,3.1200002
