Time (days),up1,up2,up3,up4,up5,up6,up7,up8,up9,up10,up11,up12,up13,up14,up15
35.98,.0000000,.0000000,.2142535,.1817709,.1542210,.1308398,.1109787,.0941534,.0798926,.0176412,.0162489,.0000000,.0000000,.0000000,.0000000
36.98,.0000000,.0000000,.2142532,.1817707,.1542219,.1308405,.1109778,.0941527,.0798930,.0176412,.0162490,.0000000,.0000000,.0000000,.0000000
37.98,.2287003,.0000000,.1652534,.1401996,.1189512,.1009172,.0855972,.0726199,.0616216,.0136067,.0125329,.0000000,.0000000,.0000000,.0000000
38.98,.1917171,.1620927,.1384489,.1174589,.0996564,.0845476,.0717126,.0608404,.0516260,.0113996,.0105000,.0000000,.0000000,.0000000,.0000000
39.98,.1917331,.1621355,.1384367,.1174486,.0996471,.0845398,.0717058,.0608346,.0516212,.0113985,.0104990,.0000000,.0000000,.0000000,.0000000
40.98,.0000000,.0000000,.2142554,.1817726,.1542208,.1308396,.1109769,.0941519,.0798926,.0176412,.0162490,.0000000,.0000000,.0000000,.0000000
41.98,.0000000,.0000000,.2142551,.1817723,.1542203,.1308392,.1109779,.0941527,.0798925,.0176411,.0162489,.0000000,.0000000,.0000000,.0000000
42.98,.0000000,.0000000,.2142551,.1817723,.1542203,.1308392,.1109779,.0941527,.0798925,.0176411,.0162489,.0000000,.0000000,.0000000,.0000000
43.98,.1918746,.1623034,.1383704,.1173923,.0995981,.0844982,.0716730,.0608068,.0515961,.0113930,.0104939,.0000000,.0000000,.0000000,.0000000
44.98,.0000000,.0000000,.2142547,.1817720,.1542186,.1308378,.1109803,.0941548,.0798920,.0176410,.0162488,.0000000,.0000000,.0000000,.0000000
45.98,.0000000,.0000000,.2142540,.1817713,.1542184,.1308376,.1109813,.0941556,.0798919,.0176410,.0162488,.0000000,.0000000,.0000000,.0000000
46.98,.0000000,.0000000,.0000000,.2313356,.1962694,.1665133,.1412441,.1198304,.1016764,.0224513,.0206795,.0000000,.0000000,.0000000,.0000000
47.98,.0000000,.0000000,.0000000,.2313356,.1962688,.1665128,.1412449,.1198310,.1016762,.0224512,.0206794,.0000000,.0000000,.0000000,.0000000
48.98,.0000000,.0000000,.0000000,.2313350,.1962677,.1665119,.1412465,.1198324,.1016759,.0224512,.0206794,.0000000,.0000000,.0000000,.0000000
49.98,.0000000,.0000000,.0000000,.0000000,.2553344,.2166236,.1837574,.1558983,.1322757,.0292079,.0269029,.0000000,.0000000,.0000000,.0000000
50.98,.0000000,.0000000,.0000000,.0000000,.2553337,.2166230,.1837582,.1558990,.1322754,.0292079,.0269028,.0000000,.0000000,.0000000,.0000000
51.98,.0000000,.0000000,.0000000,.0000000,.2553336,.2166229,.1837581,.1558989,.1322757,.0292079,.0269029,.0000000,.0000000,.0000000,.0000000
52.98,.0000000,.0000000,.0000000,.0000000,.2553336,.2166229,.1837581,.1558989,.1322758,.0292079,.0269029,.0000000,.0000000,.0000000,.0000000
53.98,.0000000,.0000000,.0000000,.0000000,.2553335,.2166228,.1837580,.1558988,.1322760,.0292080,.0269029,.0000000,.0000000,.0000000,.0000000
54.98,.0000000,.0000000,.0000000,.0000000,.2553334,.2166227,.1837580,.1558988,.1322761,.0292080,.0269030,.0000000,.0000000,.0000000,.0000000
55.98,.0000000,.0000000,.0000000,.0000000,.2553333,.2166227,.1837579,.1558987,.1322763,.0292081,.0269030,.0000000,.0000000,.0000000,.0000000
56.98,.0000000,.0000000,.0000000,.0000000,.2553332,.2166226,.1837579,.1558987,.1322765,.0292081,.0269031,.0000000,.0000000,.0000000,.0000000
57.98,.3296620,.0000000,.0000000,.0000000,.1711595,.1452103,.1231798,.1045048,.0886702,.0195793,.0180342,.0000000,.0000000,.0000000,.0000000
58.98,.3296351,.0000000,.0000000,.0000000,.1711663,.1452161,.1231847,.1045089,.0886739,.0195802,.0180349,.0000000,.0000000,.0000000,.0000000
59.98,.0000000,.0000000,.0000000,.0000000,.2553336,.2166229,.1837569,.1558978,.1322774,.0292083,.0269032,.0000000,.0000000,.0000000,.0000000
60.98,.3296071,.0000000,.0000000,.0000000,.1711737,.1452224,.1231892,.1045127,.0886779,.0195811,.0180358,.0000000,.0000000,.0000000,.0000000
61.98,.0000000,.0000000,.0000000,.0000000,.2553334,.2166228,.1837568,.1558977,.1322777,.0292084,.0269033,.0000000,.0000000,.0000000,.0000000
62.98,.0000000,.0000000,.0000000,.0000000,.2553334,.2166227,.1837567,.1558977,.1322778,.0292084,.0269033,.0000000,.0000000,.0000000,.0000000
